259,1536,
288,1152,
239,668,
670,686,
191,146,
65,96,
279,1008,
114,1989,
42,2065,
804,1151,
1837,811,
1873,641,
1762,1436,
1764,2082,
2209,2035,
2573,1017,
3149,642,
3482,376,
3713,220,
3749,97,
3228,1252,
3685,1402,
3760,1670,
3756,1966,
3775,2081,
3808,2127,
3804,2137,
2784,2097,
3267,2074,
3622,2117,
1554,2052,
1553,1712,
