636,377,
662,314,
527,328,
486,447,
949,473,
1038,384,
1234,414,
1238,540,
1410,499,
1382,361,
1549,387,
1571,527,
1256,266,
1137,271,
1006,289,
555,466,
767,923,
921,891,
984,653,
1240,632,
1350,638,
1483,670,
1569,647,
1506,691,
1115,703,
804,693,
842,508,
813,121,
646,128,
617,427,
783,449,
602,661,
719,681,
1088,619,
1109,507,
1109,507,
1109,507,
1121,861,
945,864,
947,911,
730,960,
760,968,
613,682,
614,535,
409,522,
489,899,
612,714,
670,628,
716,575,
755,508,
806,392,
1078,447,
1062,550,
1036,655,
1064,638,
949,272,
1270,348,
1299,317,
1444,37,
1446,100,
1580,151,
1610,287,
1587,372,
1361,428,
995,545,
641,437,
771,338,
922,847,
903,871,
617,492,
821,497,
938,309,
1259,434,
1598,531,
1402,883,
1290,734,
1304,746,
1101,841,
1170,380,
664,438,
523,423,
522,393,
538,339,
763,928,
773,933,
609,786,
684,812,
773,829,
934,805,
968,848,
1095,534,
1221,557,
1203,420,
442,421,
688,261,
859,269,
1056,267,
1199,296,
1224,256,
883,306,
